symbol,security_type,endpoint,target_market_state,status,notes
AAPL,Equity,quote,REGULAR,needs_retest,Capture during regular session; capture each market state | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quote,PREPRE,needs_retest,Market-state coverage; manual capture approx 3 minutes | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quote,PRE,needs_retest,Market-state coverage; manual capture approx 3 minutes | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quote,POST,needs_retest,Market-state coverage; manual capture approx 3 minutes | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quote,POSTPOST,needs_retest,Market-state coverage; manual capture approx 3 minutes | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quote,CLOSED,needs_retest,Market-state coverage; manual capture approx 3 minutes | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,chart,REGULAR,needs_retest,Capture during regular session; capture each market state | v0.3.1: re-run with HTTP status/result_state capture after null-results report.
AAPL,Equity,quoteSummary,REGULAR,draft,Capture during regular session; capture each market state
AAPL,Equity,options,REGULAR,draft,Capture during regular session; capture each market state
MSFT,Equity,quote,REGULAR,draft,Capture during regular session; capture each market state
MSFT,Equity,quote,PREPRE,queued,Market-state coverage; manual capture approx 3 minutes
MSFT,Equity,quote,PRE,queued,Market-state coverage; manual capture approx 3 minutes
MSFT,Equity,quote,POST,queued,Market-state coverage; manual capture approx 3 minutes
MSFT,Equity,quote,POSTPOST,queued,Market-state coverage; manual capture approx 3 minutes
MSFT,Equity,quote,CLOSED,queued,Market-state coverage; manual capture approx 3 minutes
MSFT,Equity,chart,REGULAR,draft,Capture during regular session; capture each market state
MSFT,Equity,quoteSummary,REGULAR,draft,Capture during regular session; capture each market state
MSFT,Equity,options,REGULAR,draft,Capture during regular session; capture each market state
SPY,ETF,quote,REGULAR,draft,Capture during regular session; capture each market state
SPY,ETF,quote,PREPRE,queued,Market-state coverage; manual capture approx 3 minutes
SPY,ETF,quote,PRE,queued,Market-state coverage; manual capture approx 3 minutes
SPY,ETF,quote,POST,queued,Market-state coverage; manual capture approx 3 minutes
SPY,ETF,quote,POSTPOST,queued,Market-state coverage; manual capture approx 3 minutes
SPY,ETF,quote,CLOSED,queued,Market-state coverage; manual capture approx 3 minutes
SPY,ETF,chart,REGULAR,draft,Capture during regular session; capture each market state
SPY,ETF,quoteSummary,REGULAR,draft,Capture during regular session; capture each market state
SPY,ETF,options,REGULAR,draft,Capture during regular session; capture each market state
QQQI,ETF,quote,REGULAR,draft,Capture during regular session; capture each market state
QQQI,ETF,quote,PREPRE,queued,Market-state coverage; manual capture approx 3 minutes
QQQI,ETF,quote,PRE,queued,Market-state coverage; manual capture approx 3 minutes
QQQI,ETF,quote,POST,queued,Market-state coverage; manual capture approx 3 minutes
QQQI,ETF,quote,POSTPOST,queued,Market-state coverage; manual capture approx 3 minutes
QQQI,ETF,quote,CLOSED,queued,Market-state coverage; manual capture approx 3 minutes
QQQI,ETF,chart,REGULAR,draft,Capture during regular session; capture each market state
