symbol,review_status,fields_with_variants,security_type_values,exchange_code_values,exchange_name_values,name_values,currency_values,app_row_count,exchange_row_count,blocking_for_fast_mode,recommended_action
MRVL,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,2,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
INTC,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,4,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
SWKS,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,2,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
RGTI,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqCM,NASDAQ | NasdaqCM,,,1,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
LRCX,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
MU,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
QCOM,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
AMD,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,4,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
KLAC,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
AVGO,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,4,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
CHTR,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
NXPI,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
TTD,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGM,NASDAQ | NasdaqGM,,,2,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
QUBT,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqCM,NASDAQ | NasdaqCM,,,1,1,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
PANW,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NYQ | NasdaqGS,NASDAQ | NYQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
AMAT,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
TXN,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
ADI,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,3,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
CSCO,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NMS | NasdaqGS,NASDAQ | NMS | NasdaqGS,,,5,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
CDW,NONBLOCKING_METADATA_VARIANT,Exchange; Exchange (C),,NASDAQ | NasdaqGS,NASDAQ | NasdaqGS,,,2,0,NO,Retain symbol unchanged. Review descriptive metadata after the first high-volume capture.
