symbol,policy,keep_fast_mode,category,browser_evidence,api_evidence,evidence_date,reason,notes
^SPTSEM,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^SPTSES,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^SMLF-IV,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^SPSUPX,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^SPTSECP3,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^VIXEQ,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^FTT1X,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^CASE30,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
^SPLK20LP,EXCLUDE_LONG_HISTORY_REQUESTS,true,specialized_index,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
SPAXX,EXCLUDE_LONG_HISTORY_REQUESTS,true,money_market,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
FDLXX,EXCLUDE_LONG_HISTORY_REQUESTS,true,money_market,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
FSPXX,EXCLUDE_LONG_HISTORY_REQUESTS,true,money_market,BROWSER_NO_DOWNLOADABLE_HISTORY,REQUEST_RANGE_NOT_SUPPORTED|CURRENT_SESSION_BAR_ONLY,2026-08-05,Yahoo provided no downloadable historical data for this symbol.,"Keep Fast-mode current quote and metadata capture; preserve existing database evidence; do not schedule baseline, sync, or refresh history requests."
