run_id,observed_at_local,source,symbol_or_query,security_type,endpoint,url_or_url_template,reported_http_status,json_error,result_state,result_count,market_state,evidence_summary,diagnosis,recommended_next_action,release_added,status
2026-07-08_manual_urls,2026-07-08 16:08-16:11 PT,user-attached Symbol Lookups for AI.txt,ZT=F,Future,quote,https://query1.finance.yahoo.com/v7/finance/quote?symbols=ZT=F,,null,OK,1,REGULAR,"Quote response returned symbol ZT=F, quoteType FUTURE, marketState REGULAR.",Successful control capture; futures use different market calendar/state behavior.,Extract fields into master database and keep as futures control.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:08-16:11 PT,user-attached Symbol Lookups for AI.txt,ZT=F,Future,quoteSummary,"https://query1.finance.yahoo.com/v10/finance/quoteSummary/ZT=F?modules=summaryDetail,quoteType",,null,OK,1,,QuoteSummary returned summaryDetail and quoteType with underlyingSymbol ZT=F and symbol ZTU26.CBT.,Successful futures fundamentals/contract metadata capture.,Add futures-specific quoteSummary fields in later database pass.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:09 PT,user-attached Symbol Lookups for AI.txt,NAC,Closed-End Fund,quote,https://query1.finance.yahoo.com/v7/finance/quote?symbols=NAC,,null,OK,1,POST,"Quote response returned NAC with quoteType EQUITY, fullExchangeName NYSE, marketState POST.",Successful CEF control capture; Yahoo classifies CEF as EQUITY in quote.,Document CEF routing by representative symbol rather than quoteType alone.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:09 PT,user-attached Symbol Lookups for AI.txt,NAC,Closed-End Fund,quoteSummary,"https://query1.finance.yahoo.com/v10/finance/quoteSummary/NAC?modules=summaryDetail,calendarEvents,defaultKeyStatistics,summaryProfile,quoteType,financialData",,null,OK,1,,"QuoteSummary returned summaryDetail, calendarEvents, defaultKeyStatistics, summaryProfile, quoteType, and financialData.",Successful CEF module capture with fund-like and equity-like fields.,Use as seed for CEF quoteSummary expansion.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:10 PT,user-attached Symbol Lookups for AI.txt,XNACX,Mutual Fund,quote,https://query1.finance.yahoo.com/v7/finance/quote?symbols=XNACX,,null,OK,1,POST,"Quote response returned XNACX with quoteType MUTUALFUND, regularMarketPrice, and no pre/post market data.",Successful mutual fund/NAV-like control capture.,Use to test daily NAV timing and sparse intraday fields.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:10 PT,user-attached Symbol Lookups for AI.txt,XNACX,Mutual Fund,quoteSummary,"https://query1.finance.yahoo.com/v10/finance/quoteSummary/XNACX?modules=fundProfile,quoteType",,null,OK,1,,QuoteSummary returned fundProfile and quoteType with mostly null fundProfile details.,Successful sparse module capture; null module fields are expected.,Do not treat null fundProfile fields as parser errors.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:11 PT,user-attached Symbol Lookups for AI.txt,QQQI,ETF,quote,https://query1.finance.yahoo.com/v7/finance/quote?symbols=QQQI,,null,OK,1,POST,"Quote response returned QQQI with quoteType ETF, NasdaqGM, regularMarketPrice, and post-market state.",Successful ETF control capture.,Use to expand ETF and fundProfile fields.,v0.3.1,reviewed
2026-07-08_manual_urls,2026-07-08 16:11 PT,user-attached Symbol Lookups for AI.txt,QQQI,ETF,quoteSummary,"https://query1.finance.yahoo.com/v10/finance/quoteSummary/QQQI?modules=fundProfile,summaryDetail,defaultKeyStatistics,summaryProfile,quoteType",,null,OK,1,,"QuoteSummary returned fundProfile, summaryDetail, defaultKeyStatistics, summaryProfile, and quoteType.",Successful ETF module capture with fundProfile/summaryDetail overlap.,Use to validate ETF-specific fields and collision handling.,v0.3.1,reviewed
2026-07-09_user_report,2026-07-09 11:15 PT,user message,AAPL,Equity,search,https://query1.finance.yahoo.com/v1/finance/search?q=AAPL,not captured,not captured,NULL_RESULT,,,User reported Yahoo did not recognize AAPL and returned null results for search URL.,Possible access/rate-limit/session issue or endpoint anomaly; not enough evidence to mark AAPL invalid.,"Re-run with HTTP status capture, User-Agent, q=Apple fallback, and quote endpoint health check.",v0.3.1,needs_retest
2026-07-09_user_report,2026-07-09 11:15 PT,user message,AAPL,Equity,chart,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?range=1mo&interval=1d&events=div%2Csplits,not captured,not captured,NULL_RESULT,,,User reported Yahoo did not recognize AAPL and returned null results for chart URL.,Likely endpoint/access/rate/session issue if quote also fails; chart error object needed for proof.,Re-run and capture HTTP status plus chart.error.code/description.,v0.3.1,needs_retest
2026-07-09_user_report,2026-07-09 11:15 PT,user message,most_actives/day_gainers/day_losers,Predefined screener,screener,https://query1.finance.yahoo.com/v1/finance/screener/predefined/saved?scrIds=most_actives,not captured,not captured,NULL_RESULT,,,User reported null results for screener URL(s).,Predefined screener URL is not AAPL-specific; failure indicates endpoint/request/access condition.,Re-run with HTTP status; do not classify as an AAPL symbol recognition failure.,v0.3.1,needs_retest
2026-07-09_assistant_live_check,2026-07-09 11:20 PT,assistant web check,AAPL / endpoints,Mixed,search;quote;chart;screener,query1.finance.yahoo.com endpoints,429,,HTTP_ERROR_429,,,"Direct fetch of search, quote, chart, and screener endpoints returned HTTP 429 Too Many Requests in this environment.",Strong evidence that access/rate limiting can mimic null or empty symbol failures.,Add result_state and HTTP diagnostics to capture process before field extraction.,v0.3.1,reviewed
