field_id,field_name,canonical_csv_name,endpoint,json_path,parent_object,yahoo_type,csv_type,db_type,applies_to,field_category,description,units,enum_group,update_frequency,nullable,presence,stability,evidence_status,evidence_symbols,evidence_market_states,example_value,formula_relationship,related_fields,validation_rule,parser_action,flattening_rule,collision_group,source_url,developer_notes,first_seen_release,last_reviewed_date,status
YF00001,symbol,symbol,quote,quoteResponse.result[].symbol,quoteResponse.result[],string,TEXT,VARCHAR(32),All,Identification,Yahoo ticker symbol exactly as returned; primary symbol-level key,,,Static except ticker changes,No,Common,Stable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,AAPL,,shortName;longName;quoteType,Must not be blank on successful quote response,Map,Flatten object field,key,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Preserve exact punctuation and suffixes such as ^, =X, -USD, =F.",v0.3.0,2026-07-09,draft
YF00002,shortName,short_name,quote,quoteResponse.result[].shortName,quoteResponse.result[],string,TEXT,TEXT,Most,Identification,Short display name,,,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,Apple Inc.,,longName;symbol,May be absent for unusual symbols,Map,Flatten object field,display_name,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Display only; do not use as key.,v0.3.0,2026-07-09,draft
YF00003,longName,long_name,quote,quoteResponse.result[].longName,quoteResponse.result[],string,TEXT,TEXT,Equity;ETF;Fund,Identification,Full issuer or fund name,,,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,Apple Inc.,,shortName;symbol,May be absent for indices/futures,Map,Flatten object field,display_name,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Display only; do not use as key.,v0.3.0,2026-07-09,draft
YF00004,quoteType,quote_type,quote,quoteResponse.result[].quoteType,quoteResponse.result[],string enum,TEXT,VARCHAR(32),Most,Identification,Yahoo quote security classification,,quoteType,Static/infrequent,No,Common,Stable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,EQUITY,Compare to chart instrumentType,instrumentType;typeDisp,Use for parser routing,Map,Flatten object field,classification,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Allow unknown future enum values with warning.,v0.3.0,2026-07-09,draft
YF00005,typeDisp,type_display,quote,quoteResponse.result[].typeDisp,quoteResponse.result[],string enum,TEXT,VARCHAR(64),Most,Identification,Yahoo display label for security type,,quoteType,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,Equity,,quoteType,Do not route solely on typeDisp,Map,Flatten object field,classification,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Display classification can differ from quoteType.,v0.3.0,2026-07-09,draft
YF00006,instrumentType,instrument_type,quote,quoteResponse.result[].instrumentType,quoteResponse.result[],string enum,TEXT,VARCHAR(32),Most,Identification,"Instrument type, when returned on quote or chart",,instrumentType,Static/infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,EQUITY,Compare to quoteType,quoteType,Use as secondary routing hint,Map,Flatten object field,classification,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",More common on chart meta than quote for some symbols.,v0.3.0,2026-07-09,draft
YF00007,exchange,exchange,quote,quoteResponse.result[].exchange,quoteResponse.result[],string enum,TEXT,VARCHAR(32),Most,Exchange,Exchange code returned by Yahoo,,exchange,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,NMS,,fullExchangeName;market,"Validate as text, do not force a fixed list",Map,Flatten object field,exchange,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Exchange codes vary by region.,v0.3.0,2026-07-09,draft
YF00008,fullExchangeName,full_exchange_name,quote,quoteResponse.result[].fullExchangeName,quoteResponse.result[],string,TEXT,TEXT,Most,Exchange,Full exchange name or display label,,,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,NasdaqGS,,exchange,May vary in spelling/display,Map,Flatten object field,exchange,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Display metadata.,v0.3.0,2026-07-09,draft
YF00009,market,market,quote,quoteResponse.result[].market,quoteResponse.result[],string enum,TEXT,VARCHAR(32),Most,Exchange,Yahoo market/region code,,market,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,us_market,,exchange;marketState,Allow new values,Map,Flatten object field,exchange,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Useful for session interpretation.,v0.3.0,2026-07-09,draft
YF00010,marketState,market_state,quote,quoteResponse.result[].marketState,quoteResponse.result[],string enum,TEXT,VARCHAR(32),Most,Trading Status,Current session state as returned by Yahoo,,marketState,Intraday,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,REGULAR,,regularMarketTime;preMarketTime;postMarketTime,Warn if not in enum table but do not fail,Map,Flatten object field,session,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Capture across PREPRE/PRE/REGULAR/POST/POSTPOST/CLOSED over time.,v0.3.0,2026-07-09,draft
