status_id,review_status,public_label,meaning,default_owner,next_action,allowed_transitions,release_eligible
RS001,NEW_OBSERVATION,New observation,A public report has been submitted but not yet reviewed.,maintainer,"Check whether the report includes enough endpoint, symbol, timestamp, and raw-output evidence.",NEEDS_CLARIFICATION; NEEDS_RETEST; UNDER_REVIEW; DUPLICATE; REJECTED_FALSE_POSITIVE,No
RS002,NEEDS_CLARIFICATION,Needs clarification,The report may be valid but is missing important details.,reporter,"Ask for missing details such as exact symbol, endpoint, URL, timestamp, returned JSON, or app/tool used.",UNDER_REVIEW; NEEDS_RETEST; REJECTED_FALSE_POSITIVE; DUPLICATE,No
RS003,NEEDS_RETEST,Needs retest,The observation should be repeated before it is accepted as Yahoo API behavior.,reporter or maintainer,"Repeat with representative symbols, raw output capture, and time/status notes.",UNDER_REVIEW; LIKELY_TEMPORARY_YAHOO_ISSUE; CONFIRMED_YAHOO_API_CHANGE; REJECTED_FALSE_POSITIVE,No
RS004,UNDER_REVIEW,Under review,Evidence is being assessed against known endpoint behavior and prior records.,maintainer,"Classify the observation, compare to current reference tables, and check for false positives.",NEEDS_RETEST; LIKELY_APP_SPECIFIC; LIKELY_TEMPORARY_YAHOO_ISSUE; CONFIRMED_YAHOO_API_CHANGE; REJECTED_FALSE_POSITIVE; DUPLICATE,No
RS005,LIKELY_APP_SPECIFIC,Likely app-specific,"The behavior appears to come from a third-party app, user interface, wrapper, or parser rather than directly from Yahoo.",maintainer,Document as an app behavior finding only if useful; do not promote as Yahoo API change.,NEEDS_RETEST; REJECTED_FALSE_POSITIVE; CONFIRMED_YAHOO_API_CHANGE,Only as app-behavior note
RS006,LIKELY_TEMPORARY_YAHOO_ISSUE,Likely temporary Yahoo issue,"The issue resembles a transient outage, rate limit, blocked request, or inconsistent temporary response.",maintainer,Retest later and look for independent confirmation before promotion.,NEEDS_RETEST; CONFIRMED_YAHOO_API_CHANGE; REJECTED_FALSE_POSITIVE,No
RS007,DUPLICATE,Duplicate,The same observation was already reported or is already tracked.,maintainer,Link to the original issue or change record.,Closed duplicate,No
RS008,CONFIRMED_YAHOO_API_CHANGE,Confirmed Yahoo API change,Evidence supports that the observed behavior is a real Yahoo Finance API change or stable behavior worth documenting.,maintainer,"Create or update a confirmed change record, master field row, enumeration entry, or endpoint note.",Released; Superseded; Needs recheck,Yes
RS009,REJECTED_FALSE_POSITIVE,Rejected / false positive,The observation does not represent Yahoo API behavior or cannot be supported by evidence.,maintainer,"Close with explanation and, when useful, a retest suggestion.",Closed; Reopen if new evidence provided,No
RS010,DEFERRED_MONITORING,Deferred / monitoring,Potentially useful but not yet important or evidenced enough to classify.,maintainer,"Monitor, batch with related reports, or revisit in later release.",NEEDS_RETEST; UNDER_REVIEW; REJECTED_FALSE_POSITIVE; CONFIRMED_YAHOO_API_CHANGE,No
